Participant,Trial_Nr,Run_Nr,Trial_nr_run,Cue_Taste1_Size2,Top_image_index,Bottom_image_index,Choice,RT_choice,Size_top_image,Taste_top_image,Size_bottom_image,Taste_bottom_image,Size_diff,Taste_diff,Cued_diff,Category,mean_RT_size_pic1,mean_RT_taste_pic1,mean_RT_size_pic2,mean_RT_taste_pic2,Diff_category_oposite_to_cue,Category_opposite_to_cue,Stimulation,Session_type,Accuracy,Size1_TopPic,Size2_TopPic,Taste1_TopPic,Taste2_TopPic,Size1_BotPic,Size2_BotPic,Taste1_BotPic,Taste2_BotPic,Amplitude,Circumfence,Time_between_tasks,Name_top_image,Name_bottom_image
4,117,5,5,1,24,8,-1,1.163509615,0.330729167,0.734809028,0.3203125,0.649739583,0.010416667,0.085069444,0.085069444,6,1.811777546,0.957633955,1.309643642,1.046133799,0.010416667,5,0,0,0,0.332465278,0.328993056,0.684027778,0.785590278,0.397569444,0.243055556,0.622395833,0.677083333,2,56,0,kiwi,carrot
4,118,5,6,1,21,23,1,1.087643666,0.483940972,0.594184028,0.761284722,0.584635417,-0.27734375,0.009548611,0.009548611,5,1.10722242,1.627900269,0.943210192,1.65316678,-0.27734375,0,0,0,0,0.478298611,0.489583333,0.578125,0.610243056,0.703993056,0.818576389,0.6171875,0.552083333,2,56,0,frosties,kitkat
4,119,5,7,2,25,32,-1,1.504030581,0.342013889,0,0.387152778,0.137152778,-0.045138889,-0.137152778,-0.045138889,4,1.100382948,0.665198505,1.720898464,0.654268292,-0.137152778,2,0,0,0,0.330729167,0.353298611,0,0,0.410590278,0.363715278,0.073784722,0.200520833,2,56,0,lindt,meringues
4,120,5,8,2,8,21,-1,1.063978152,0.3203125,0.649739583,0.483940972,0.594184028,-0.163628472,0.055555556,-0.163628472,1,1.309643642,1.046133799,1.10722242,1.627900269,0.055555556,6,0,0,0,0.397569444,0.243055556,0.622395833,0.677083333,0.478298611,0.489583333,0.578125,0.610243056,2,56,0,carrot,frosties
4,121,5,9,2,4,17,-1,1.269119945,0.3984375,0.973958333,0.298611111,0.233072917,0.099826389,0.740885417,0.099826389,6,1.799274495,1.31692315,0.942389,1.151934992,0.740885417,0,0,0,0,0.376736111,0.420138889,0.975694444,0.972222222,0.338541667,0.258680556,0.123263889,0.342881944,2,56,0,benandjerrys,caramel
4,122,5,10,2,12,4,-1,1.698892543,0.311197917,0.525607639,0.3984375,0.973958333,-0.087239583,-0.448350694,-0.087239583,3,1.731238882,1.408347797,1.799274495,1.31692315,-0.448350694,0,0,0,0,0.395833333,0.2265625,0.506944444,0.544270833,0.376736111,0.420138889,0.975694444,0.972222222,2,56,0,croissant,benandjerrys
4,123,5,11,2,9,11,-1,1.184941669,0.286892361,0.395833333,0.249565972,0.296006944,0.037326389,0.099826389,0.037326389,5,1.795156305,1.136475708,1.999906987,1.274135843,0.099826389,6,0,0,0,0.418402778,0.155381944,0.395833333,0.395833333,0.2890625,0.210069444,0.329861111,0.262152778,2,56,0,chocovo,corny
4,124,5,12,2,30,17,-1,1.400093924,0.341579861,0,0.298611111,0.233072917,0.04296875,-0.233072917,0.04296875,5,1.447729164,0.631807259,0.942389,1.151934992,-0.233072917,0,0,0,0,0.425347222,0.2578125,0,0,0.338541667,0.258680556,0.123263889,0.342881944,2,56,0,mars,caramel
4,125,5,13,1,1,8,1,1.135180346,0.103298611,0.735243056,0.3203125,0.649739583,-0.217013889,0.085503472,0.085503472,6,1.212140554,2.169159824,1.309643642,1.046133799,-0.217013889,0,0,0,0,0.089409722,0.1171875,0.795138889,0.675347222,0.397569444,0.243055556,0.622395833,0.677083333,2,56,0,pineapple,carrot
4,126,5,14,1,10,12,1,0.677310018,0.411458333,0.552083333,0.311197917,0.525607639,0.100260417,0.026475694,0.026475694,5,3.174862656,1.373637012,1.731238882,1.408347797,0.100260417,7,0,0,0,0.405381944,0.417534722,0.539930556,0.564236111,0.395833333,0.2265625,0.506944444,0.544270833,2,56,0,lemon,croissant
